epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0713,1.36659,4.59982,2.78451,0.9925,1,0.995,0.707,1.11753,3.13694,2.23466,0.00032867,0.00032867,0.00032867
2,79.883,0.90637,2.46365,2.31791,0.99244,1,0.995,0.826,0.7915,1.93779,2.15675,0.000605139,0.000605139,0.000605139
3,117.668,0.84671,1.747,2.24428,0.99456,1,0.995,0.78294,0.94167,1.70455,4.91973,0.000813701,0.000813701,0.000813701
4,155.321,0.91669,1.4722,2.0816,0.9869,1,0.995,0.86598,0.70867,1.56072,1.81191,0.000954358,0.000954358,0.000954358
5,193.537,0.86317,1.31591,2.09354,0.99162,1,0.995,0.77022,0.81064,1.26537,4.01815,0.000863116,0.000863116,0.000863116
6,233.875,0.80571,1.18541,1.94586,0.99417,1,0.995,0.88658,0.68141,1.12773,4.06774,0.000721645,0.000721645,0.000721645
7,270.893,0.73626,1.03077,1.94693,0.99412,1,0.995,0.87033,0.65431,0.85,3.50938,0.000580174,0.000580174,0.000580174
8,307.501,0.70608,0.97382,2.01225,0.99277,1,0.995,0.86034,0.6536,0.86323,3.71373,0.000438703,0.000438703,0.000438703
9,346.701,0.64871,0.91184,1.85062,0.99891,1,0.995,0.86681,0.72085,0.8302,4.24668,0.000297232,0.000297232,0.000297232
10,386.132,0.63515,0.85609,1.91019,0.99893,1,0.995,0.88956,0.61747,0.80623,4.03886,0.000155761,0.000155761,0.000155761
1,37.6451,1.36659,4.59982,2.78451,0.9925,1,0.995,0.707,1.11753,3.13694,2.23466,0.00032867,0.00032867,0.00032867
2,73.7896,0.90637,2.46365,2.31791,0.99244,1,0.995,0.826,0.7915,1.93779,2.15675,0.000605139,0.000605139,0.000605139
3,108.986,0.84671,1.747,2.24428,0.99456,1,0.995,0.78294,0.94167,1.70455,4.91973,0.000813701,0.000813701,0.000813701
4,143.149,0.91669,1.4722,2.0816,0.9869,1,0.995,0.86598,0.70867,1.56072,1.81191,0.000954358,0.000954358,0.000954358
5,178.126,0.86317,1.31591,2.09354,0.99162,1,0.995,0.77022,0.81064,1.26537,4.01815,0.000863116,0.000863116,0.000863116
6,214.143,0.80571,1.18541,1.94586,0.99417,1,0.995,0.88658,0.68141,1.12773,4.06774,0.000721645,0.000721645,0.000721645
7,250.265,0.73626,1.03077,1.94693,0.99412,1,0.995,0.87033,0.65431,0.85,3.50938,0.000580174,0.000580174,0.000580174
8,285.941,0.70608,0.97382,2.01225,0.99277,1,0.995,0.86034,0.6536,0.86323,3.71373,0.000438703,0.000438703,0.000438703
9,326.689,0.64871,0.91184,1.85062,0.99891,1,0.995,0.86681,0.72085,0.8302,4.24668,0.000297232,0.000297232,0.000297232
10,363.689,0.63515,0.85609,1.91019,0.99893,1,0.995,0.88956,0.61747,0.80623,4.03886,0.000155761,0.000155761,0.000155761
1,173.209,1.17954,3.65349,2.24591,0.99207,0.65623,0.66321,0.51941,1.04546,2.06062,2.15005,0.000471473,0.000471473,0.000471473
2,338.135,1.01981,1.37054,2.05031,0.66362,0.66667,0.66333,0.46634,1.12627,1.17375,2.15383,0.000853973,0.000853973,0.000853973
3,498.393,0.99755,0.93308,1.95878,0.83607,0.7619,0.81135,0.59056,1.12089,1.02465,2.2475,0.00114216,0.00114216,0.00114216
4,650.488,0.99167,0.7782,1.92642,0.97561,0.64382,0.79577,0.57577,1.0288,0.8519,2.4564,0.00100459,0.00100459,0.00100459
5,799.765,0.92392,0.67608,1.85568,0.98267,0.66667,0.83785,0.59889,0.96829,0.77079,2.11483,0.000863116,0.000863116,0.000863116
6,963.73,0.87838,0.62942,1.77411,0.97374,0.75326,0.76267,0.55593,0.95764,0.74523,2.12375,0.000721645,0.000721645,0.000721645
7,1121.55,0.81057,0.57096,1.77812,0.95712,0.7619,0.81765,0.63273,0.92125,0.69046,2.74373,0.000580174,0.000580174,0.000580174
8,1275.94,0.78907,0.53919,1.74723,0.92727,0.76024,0.81199,0.62364,0.97785,0.66596,2.75487,0.000438703,0.000438703,0.000438703
9,1437.52,0.74851,0.52033,1.67174,0.98212,0.76086,0.81797,0.65233,0.90427,0.60287,2.68357,0.000297232,0.000297232,0.000297232
10,1593.67,0.70742,0.49745,1.65537,0.87506,0.78953,0.82904,0.66879,0.90981,0.61833,2.56095,0.000155761,0.000155761,0.000155761
